"test_0001_aligned.jpg" "a person has sad emotions, with Lips part, Inner brow raiser, Outer brow raiser."
"test_0002_aligned.jpg" "a person hasngry emotions, with Inner brow raiser, Jaw Drop, Outer brow raiser."
"test_0003_aligned.jpg" "a person has happy emotions, with Jaw Drop, Inner brow raiser, Nose Wrinkler."
"test_0004_aligned.jpg" "a person hasngry emotions, with Jaw Drop, Inner brow raiser, Brow Lowerer."
"test_0005_aligned.jpg" "a person has sad emotions, with Inner brow raiser, Dimpler, Jaw Drop."
"test_0006_aligned.jpg" "a person has sad emotions, with Chin Raiser, Inner brow raiser, Lid Tightener."
"test_0007_aligned.jpg" "a person has fear emotions, with Chin Raiser, Lid Tightener, Lip Corner Depressor."
"test_0008_aligned.jpg" "a person hasngry emotions, with Chin Raiser, Lid Tightener, Jaw Drop."
"test_0009_aligned.jpg" "a person has happy emotions, with Jaw Drop, Lips part, Lid Tightener."
"test_0010_aligned.jpg" "a person has happy emotions, with Jaw Drop, Lips part, Inner brow raiser."
"test_0011_aligned.jpg" "a person has fear emotions, with Jaw Drop, Lips part, Dimpler."
"test_0012_aligned.jpg" "a person has happy emotions, with Jaw Drop, Lips part, Cheek Raiser."
"test_0013_aligned.jpg" "a person has happy emotions, with Jaw Drop, Lips part, Cheek Raiser."
"test_0014_aligned.jpg" "a person has happy emotions, with Jaw Drop, Chin Raiser, Lips part."
"test_0015_aligned.jpg" "a person hasngry emotions, with Chin Raiser, Inner brow raiser, Lip Corner Puller."
"test_0016_aligned.jpg" "a person has happy emotions, with Chin Raiser, Jaw Drop, Lid Tightener."
"test_0017_aligned.jpg" "a person has surprise emotions, with Lid Tightener, Jaw Drop, Lips part."
"test_0018_aligned.jpg" "a person has fear emotions, with Jaw Drop, Lid Tightener, Lips part."
"test_0019_aligned.jpg" "a person has happy emotions, with Lip stretcher, Lips part, Chin Raiser."
"test_0020_aligned.jpg" "a person has happy emotions, with Lip stretcher, Chin Raiser, Dimpler."
"test_0021_aligned.jpg" "a person has happy emotions, with Chin Raiser, Lip stretcher, Dimpler."
"test_0022_aligned.jpg" "a person has sad emotions, with Chin Raiser, Cheek Raiser, Lid Tightener."
"test_0023_aligned.jpg" "a person hasngry emotions, with Chin Raiser, Cheek Raiser, Dimpler."
"test_0024_aligned.jpg" "a person has sad emotions, with Dimpler, Lid Tightener, Cheek Raiser."
"test_0026_aligned.jpg" "a person has happy emotions, with Lid Tightener, Lips part, Jaw Drop."
"test_0027_aligned.jpg" "a person has surprise emotions, with Lid Tightener, Lips part, Jaw Drop."
"test_0029_aligned.jpg" "a person has happy emotions, with Lips part, Chin Raiser, Jaw Drop."
"test_0030_aligned.jpg" "a person has sad emotions, with Lips part, Chin Raiser, Jaw Drop."
"test_0031_aligned.jpg" "a person has sad emotions, with Lid Tightener, Lips part, Inner brow raiser."
"test_0033_aligned.jpg" "a person has happy emotions, with Lid Tightener, Cheek Raiser, Lip Corner Puller."
"test_0035_aligned.jpg" "a person hasngry emotions, with Jaw Drop, Chin Raiser, Lip stretcher."
"test_0036_aligned.jpg" "a person has sad emotions, with Chin Raiser, Lid Tightener, Jaw Drop."
"test_0037_aligned.jpg" "a person has surprise emotions, with Cheek Raiser, Chin Raiser, Lips part."
"test_0038_aligned.jpg" "a person has happy emotions, with Cheek Raiser, Chin Raiser, Lips part."
"test_0039_aligned.jpg" "a person has sad emotions, with Lip Corner Puller, Dimpler, Chin Raiser."
"test_0040_aligned.jpg" "a person has happy emotions, with Lip Corner Puller, Dimpler, Chin Raiser."
"test_0041_aligned.jpg" "a person has happy emotions, with Lip Corner Puller, Dimpler, Lips part."
"test_0043_aligned.jpg" "a person hasngry emotions, with Chin Raiser, Lip Corner Depressor, Lid Tightener."
"test_0044_aligned.jpg" "a person has happy emotions, with Lid Tightener, Chin Raiser, Lip Corner Depressor."
"test_0045_aligned.jpg" "a person has sad emotions, with Lips part, Jaw Drop, Chin Raiser."
"test_0046_aligned.jpg" "a person has happy emotions, with Lid Tightener, Lip Corner Puller, Lips part."
"test_0047_aligned.jpg" "a person has happy emotions, with Lip Corner Puller, Cheek Raiser, Dimpler."
"test_0048_aligned.jpg" "a person has happy emotions, with Lid Tightener, Lip Corner Puller, Cheek Raiser."
"test_0049_aligned.jpg" "a person has sad emotions, with Lips part, Lid Tightener, Chin Raiser."
"test_0050_aligned.jpg" "a person has happy emotions, with Dimpler, Chin Raiser, Lips part."
"test_0051_aligned.jpg" "a person has happy emotions, with Chin Raiser, Jaw Drop, Dimpler."
"test_0052_aligned.jpg" "a person has happy emotions, with Jaw Drop, Dimpler, Lips part."
"test_0053_aligned.jpg" "a person has happy emotions, with Jaw Drop, Lips part, Chin Raiser."
"test_0055_aligned.jpg" "a person has happy emotions, with Chin Raiser, Dimpler, Cheek Raiser."
"test_0056_aligned.jpg" "a person has happy emotions, with Dimpler, Chin Raiser, Cheek Raiser."
"test_0057_aligned.jpg" "a person has surprise emotions, with Cheek Raiser, Chin Raiser, Dimpler."
"test_0058_aligned.jpg" "a person has happy emotions, with Chin Raiser, Cheek Raiser, Dimpler."
"test_0059_aligned.jpg" "a person hasngry emotions, with Lid Tightener, Cheek Raiser, Chin Raiser."
"test_0060_aligned.jpg" "a person has happy emotions, with Lid Tightener, Cheek Raiser, Lips part."
"test_0061_aligned.jpg" "a person has happy emotions, with Lid Tightener, Cheek Raiser, Lip Corner Puller."
"test_0062_aligned.jpg" "a person has sad emotions, with Cheek Raiser, Lid Tightener, Lip Corner Puller."
"test_0063_aligned.jpg" "a person has happy emotions, with Dimpler, Jaw Drop, Lip Corner Puller."
"test_0064_aligned.jpg" "a person has happy emotions, with Dimpler, Jaw Drop, Chin Raiser."
"test_0065_aligned.jpg" "a person has happy emotions, with Jaw Drop, Dimpler, Chin Raiser."
"test_0066_aligned.jpg" "a person has happy emotions, with Chin Raiser, Dimpler, Cheek Raiser."
"test_0068_aligned.jpg" "a person has happy emotions, with Jaw Drop, Chin Raiser, Brow Lowerer."
"test_0069_aligned.jpg" "a person has sad emotions, with Jaw Drop, Chin Raiser, Brow Lowerer."
"test_0070_aligned.jpg" "a person has sad emotions, with Jaw Drop, Chin Raiser, Inner brow raiser."
"test_0071_aligned.jpg" "a person has happy emotions, with Jaw Drop, Chin Raiser, Inner brow raiser."
"test_0073_aligned.jpg" "a person hasngry emotions, with Lips part, Jaw Drop, Inner brow raiser."
"test_0074_aligned.jpg" "a person has happy emotions, with Lips part, Jaw Drop, Inner brow raiser."
"test_0075_aligned.jpg" "a person has happy emotions, with Lips part, Jaw Drop, Lid Tightener."
"test_0077_aligned.jpg" "a person has happy emotions, with Lid Tightener, Nose Wrinkler, Jaw Drop."
"test_0078_aligned.jpg" "a person has happy emotions, with Lid Tightener, Jaw Drop, Lips part."
"test_0079_aligned.jpg" "a person has happy emotions, with Lid Tightener, Jaw Drop, Cheek Raiser."
"test_0080_aligned.jpg" "a person has sad emotions, with Jaw Drop, Chin Raiser, Lid Tightener."
"test_0081_aligned.jpg" "a person has fear emotions, with Chin Raiser, Lips part, Jaw Drop."
"test_0082_aligned.jpg" "a person has happy emotions, with Lip Suck, Chin Raiser, Lips part."
"test_0084_aligned.jpg" "a person hasngry emotions, with Lip Suck, Inner brow raiser, Upper Lid Raiser."
"test_0086_aligned.jpg" "a person hasngry emotions, with Chin Raiser, Lip Corner Depressor, Dimpler."
"test_0087_aligned.jpg" "a person has happy emotions, with Chin Raiser, Lid Tightener, Lip Corner Depressor."
"test_0088_aligned.jpg" "a person has sad emotions, with Lid Tightener, Chin Raiser, Jaw Drop."
"test_0089_aligned.jpg" "a person has sad emotions, with Jaw Drop, Lips part, Chin Raiser."
